County,Year,Population,Index_Count,Index_Rate,Violent_Count,Violent_Rate,Property_Count,Property_Rate,Firearm_Count,Firearm_Rate
Albany,2015,308613,8224,2664.8,1005,325.7,7219,2339.2,111,36.0
Albany,2014,308166,9157,2971.5,995,322.9,8162,2648.6,146,47.4
Albany,2013,306300,9455,3086.8,1002,327.1,8453,2759.7,150,49.0
Albany,2012,305204,9971,3267.0,1012,331.6,8959,2935.4,137,44.9
Albany,2011,305571,10725,3509.8,1163,380.6,9562,3129.2,196,64.1
Albany,2010,295267,11036,3737.6,1182,400.3,9854,3337.3,154,52.2
Albany,2009,298400,10613,3556.6,1289,432.0,9324,3124.7,191,64.0
Albany,2008,299789,10750,3585.9,1356,452.3,9394,3133.5,238,79.4
Albany,2007,297154,10584,3561.8,1468,494.0,9116,3067.8,208,70.0
Albany,2006,298210,11935,4002.2,1545,518.1,10390,3484.1,200,67.1
Albany,2005,298859,12119,4055.1,1615,540.4,10504,3514.7,260,87.0
Albany,2004,298419,12710,4259.1,1431,479.5,11279,3779.6,194,65.0
Albany,2003,296677,11977,4037.1,1402,472.6,10575,3564.5,183,61.7
Albany,2002,297376,12784,4298.9,1706,573.7,11078,3725.3,224,75.3
Albany,2001,295107,13733,4653.6,1649,558.8,12084,4094.8,252,85.4
Albany,2000,304521,14096,4628.9,1353,444.3,12743,4184.6,153,50.2
Albany,1999,292929,14145,4828.8,1133,386.8,13012,4442.0,113,38.6
Albany,1998,294930,13733,4656.4,1310,444.2,12423,4212.2,108,36.6
Albany,1997,290760,14542,5001.4,1450,498.7,13092,4502.7,149,51.2
Albany,1996,291536,13676,4691.0,1408,483.0,12268,4208.1,117,40.1
Albany,1995,290756,16699,5743.3,1606,552.4,15093,5191.0,157,54.0
Albany,1994,293843,16724,5691.5,1771,602.7,14953,5088.8,162,55.1
Albany,1993,294302,15139,5144.0,1669,567.1,13470,4576.9,104,35.3
Albany,1992,295018,16249,5507.8,1588,538.3,14661,4969.5,116,39.3
Albany,1991,294030,15464,5259.3,1674,569.3,13790,4690.0,120,40.8
Albany,1990,292594,14418,4927.6,1524,520.9,12894,4406.8,122,41.7
Allegany,2015,47336,577,1218.9,57,120.4,520,1098.5,1,2.1
Allegany,2014,47972,614,1279.9,68,141.7,546,1138.2,12,25.0
Allegany,2013,48220,796,1650.8,54,112.0,742,1538.8,2,4.1
Allegany,2012,49041,856,1745.5,65,132.5,791,1612.9,4,8.2
Allegany,2011,49166,895,1820.4,64,130.2,831,1690.2,4,8.1
Allegany,2010,48531,841,1732.9,89,183.4,752,1549.5,10,20.6
Allegany,2009,49605,776,1564.4,129,260.1,647,1304.3,5,10.1
Allegany,2008,49594,651,1312.7,91,183.5,560,1129.2,2,4.0
Allegany,2007,50178,710,1415.0,86,171.4,624,1243.6,6,12.0
Allegany,2006,50737,839,1653.6,119,234.5,720,1419.1,6,11.8
Allegany,2005,50647,1069,2110.7,134,264.6,935,1846.1,4,7.9
Allegany,2004,50659,943,1861.5,97,191.5,846,1670.0,4,7.9
Allegany,2003,50266,846,1683.0,100,198.9,746,1484.1,3,6.0
Allegany,2002,50404,862,1710.2,116,230.1,746,1480.0,8,15.9
Allegany,2001,50019,900,1799.3,143,285.9,757,1513.4,3,6.0
Allegany,2000,52720,964,1828.5,143,271.2,821,1557.3,4,7.6
Allegany,1999,51057,759,1486.6,94,184.1,665,1302.5,11,21.5
Allegany,1998,51741,891,1722.0,69,133.4,822,1588.7,10,19.3
Allegany,1997,51151,943,1843.6,84,164.2,859,1679.3,1,2.0
Allegany,1996,51291,1096,2136.8,93,181.3,1003,1955.5,3,5.8
Allegany,1995,51158,1247,2437.5,160,312.8,1087,2124.8,12,23.5
Allegany,1994,51575,1235,2394.6,129,250.1,1106,2144.4,2,3.9
Allegany,1993,51659,1265,2448.8,131,253.6,1134,2195.2,4,7.7
Allegany,1992,50820,1378,2711.5,161,316.8,1217,2394.7,10,19.7
Allegany,1991,50654,1417,2797.4,134,264.5,1283,2532.9,4,7.9
Allegany,1990,50470,1280,2536.2,146,289.3,1134,2246.9,1,2.0
Bronx,2001,1315775,46367,3523.9,14793,1124.3,31574,2399.7,2057,156.3
Bronx,2000,1270428,49537,3899.2,16482,1297.4,33055,2601.9,2282,179.6
Bronx,1999,1218399,49928,4097.8,16820,1380.5,33108,2717.3,2301,188.9
Bronx,1998,1206670,52464,4347.8,18391,1524.1,34073,2823.7,2623,217.4
Bronx,1997,1200558,57626,4799.9,19592,1631.9,38034,3168.0,3241,270.0
Bronx,1996,1203693,63772,5298.0,20615,1712.6,43157,3585.4,4536,376.8
Bronx,1995,1200406,73397,6114.3,24660,2054.3,48737,4060.0,5414,451.0
Bronx,1994,1203141,84330,7009.2,27863,2315.9,56467,4693.3,7498,623.2
Bronx,1993,1204950,91927,7629.1,31235,2592.2,60692,5036.9,9954,826.1
Bronx,1992,1209516,92551,7651.9,31050,2567.1,61501,5084.8,9898,818.3
Bronx,1991,1205404,100071,8301.9,33515,2780.4,66556,5521.5,10927,906.5
Bronx,1990,1200900,104729,8720.9,33635,2800.8,71094,5920.1,10869,905.1
Broome,2015,196201,6445,3284.9,622,317.0,5823,2967.9,71,36.2
Broome,2014,197126,6318,3205.1,496,251.6,5822,2953.4,72,36.5
Broome,2013,197527,6706,3395.0,512,259.2,6194,3135.8,53,26.8
Broome,2012,200105,6897,3446.7,604,301.8,6293,3144.8,58,29.0
Broome,2011,201502,6643,3296.7,521,258.6,6122,3038.2,46,22.8
Broome,2010,191892,6207,3234.6,499,260.0,5708,2974.6,64,33.4
Broome,2009,194381,6171,3174.7,458,235.6,5713,2939.1,56,28.8
Broome,2008,195377,6863,3512.7,555,284.1,6308,3228.6,43,22.0
Broome,2007,195161,6023,3086.2,459,235.2,5564,2851.0,33,16.9
Broome,2006,197474,6625,3354.9,504,255.2,6121,3099.6,39,19.7
Broome,2005,197979,6129,3095.8,409,206.6,5720,2889.2,31,15.7
Broome,2004,199744,5909,2958.3,328,164.2,5581,2794.1,28,14.0
Broome,2003,200665,6062,3021.0,407,202.8,5655,2818.1,36,17.9
Broome,2002,202449,6288,3106.0,468,231.2,5820,2874.8,46,22.7
Broome,2001,200905,5830,2901.9,443,220.5,5387,2681.4,47,23.4
Broome,2000,203614,6043,2967.9,420,206.3,5623,2761.6,45,22.1
